Entity,Code,Year,Public spending on education as a share of GDP (historical and recent)
France,FRA,1870,0.3
France,FRA,1913,1.5
France,FRA,1937,1.3
France,FRA,1960,2.4
France,FRA,1970,3.42974
France,FRA,1971,3.17421
France,FRA,1972,3.35918
France,FRA,1973,3.23003
France,FRA,1974,4.24202
France,FRA,1975,4.42854
France,FRA,1976,4.42471
France,FRA,1977,4.43521
France,FRA,1978,4.34511
France,FRA,1979,4.28116
France,FRA,1980,4.30769
France,FRA,1981,4.73072
France,FRA,1982,4.85203
France,FRA,1983,4.85234
France,FRA,1984,4.86754
France,FRA,1985,4.85157
France,FRA,1986,4.70795
France,FRA,1987,4.62344
France,FRA,1988,4.54472
France,FRA,1989,4.4564
France,FRA,1990,4.51394
France,FRA,1991,4.8413
France,FRA,1992,4.73539
France,FRA,1993,5.42959
France,FRA,1994,5.62643
France,FRA,1995,5.79073
France,FRA,1996,5.75672
France,FRA,1998,5.68792
France,FRA,2000,5.6002192
France,FRA,2001,5.6178
France,FRA,2002,5.7809753
France,FRA,2003,5.762063
France,FRA,2004,5.549234
France,FRA,2005,5.5172276
France,FRA,2006,5.4753103
France,FRA,2007,5.3045287
France,FRA,2008,5.3872757
France,FRA,2009,5.669219
France,FRA,2010,5.6427917
France,FRA,2011,5.4801154
France,FRA,2012,5.488356
France,FRA,2013,5.4928937
France,FRA,2014,5.4892044
France,FRA,2015,5.4464273
France,FRA,2016,5.408058
France,FRA,2017,5.4516
France,FRA,2018,5.40717
France,FRA,2019,5.35443
France,FRA,2020,5.65981
France,FRA,2021,5.43039
Germany,DEU,1870,1.3
Germany,DEU,1913,2.7
Germany,DEU,1960,2.9
Germany,DEU,1980,4.7
Germany,DEU,1993,4.40792
Germany,DEU,1994,4.33664
Germany,DEU,1995,4.43076
Germany,DEU,1996,4.49471
Germany,DEU,1998,4.46187
Germany,DEU,2000,4.0334606
Germany,DEU,2001,4.1179123
Germany,DEU,2002,4.142289
Germany,DEU,2003,4.137968
Germany,DEU,2004,4.0688343
Germany,DEU,2005,4.05373
Germany,DEU,2006,3.9757974
Germany,DEU,2007,3.8797193
Germany,DEU,2008,4.54924
Germany,DEU,2009,4.2779784
Germany,DEU,2010,5.09588
Germany,DEU,2011,4.98425
Germany,DEU,2012,4.92844
Germany,DEU,2013,4.93539
Germany,DEU,2014,4.92102
Germany,DEU,2015,4.85515
Germany,DEU,2016,4.83923
Germany,DEU,2017,4.87183
Germany,DEU,2018,4.97933
Germany,DEU,2019,5.11552
Germany,DEU,2020,5.59038
Germany,DEU,2021,5.45489
Germany,DEU,2022,4.393009
Germany,DEU,2023,4.4749913
Norway,NOR,1870,0.5
Norway,NOR,1913,1.4
Norway,NOR,1937,1.9
Norway,NOR,1960,4.2
Norway,NOR,1972,5.90406
Norway,NOR,1973,5.89172
Norway,NOR,1974,5.67366
Norway,NOR,1975,5.55022
Norway,NOR,1976,6.1636
Norway,NOR,1977,5.97281
Norway,NOR,1978,6.44438
Norway,NOR,1980,5.78015
Norway,NOR,1981,5.54364
Norway,NOR,1982,5.67885
Norway,NOR,1983,5.6463
Norway,NOR,1984,5.42937
Norway,NOR,1985,5.25567
Norway,NOR,1986,5.53984
Norway,NOR,1987,5.78808
Norway,NOR,1988,5.86597
Norway,NOR,1989,6.29985
Norway,NOR,1990,6.31037
Norway,NOR,1991,6.37322
Norway,NOR,1992,6.63614
Norway,NOR,1993,7.67663
Norway,NOR,1994,7.83044
Norway,NOR,1995,7.69568
Norway,NOR,1996,7.13805
Norway,NOR,1997,7.30343
Norway,NOR,1998,7.35759
Norway,NOR,1999,6.96222
Norway,NOR,2000,6.45934
Norway,NOR,2001,6.82016
Norway,NOR,2002,7.42246
Norway,NOR,2003,7.39933
Norway,NOR,2004,7.27744
Norway,NOR,2005,6.84083
Norway,NOR,2006,6.35822
Norway,NOR,2007,6.50671
Norway,NOR,2008,6.24916
Norway,NOR,2009,7.07067
Norway,NOR,2010,6.71042
Norway,NOR,2011,6.41491
Norway,NOR,2012,7.32766
Norway,NOR,2013,7.43906
Norway,NOR,2014,7.64403
Norway,NOR,2015,7.52335
Norway,NOR,2016,7.98445
Norway,NOR,2017,7.84598
Norway,NOR,2018,7.59563
Norway,NOR,2019,7.86456
Norway,NOR,2020,8.37282
Norway,NOR,2021,6.96022
Norway,NOR,2022,3.9680197
Spain,ESP,1913,0.4
Spain,ESP,1937,1.6
Spain,ESP,1960,1.3
Spain,ESP,1970,1.83301
Spain,ESP,1971,1.88928
Spain,ESP,1972,2.06465
Spain,ESP,1974,1.45956
Spain,ESP,1976,1.89939
Spain,ESP,1977,2.07717
Spain,ESP,1978,2.23073
Spain,ESP,1979,2.33805
Spain,ESP,1980,2.6
Spain,ESP,1987,3.12818
Spain,ESP,1988,3.3283
Spain,ESP,1989,3.55178
Spain,ESP,1990,3.63359
Spain,ESP,1991,3.74235
Spain,ESP,1992,3.83716
Spain,ESP,1993,4.24489
Spain,ESP,1994,4.48468
Spain,ESP,1995,4.43463
Spain,ESP,1996,4.45746
Spain,ESP,1998,4.28786
Spain,ESP,1999,4.26044
Spain,ESP,2000,4.16605
Spain,ESP,2001,4.11127
Spain,ESP,2002,4.13457
Spain,ESP,2003,4.17343
Spain,ESP,2004,4.15786
Spain,ESP,2005,4.14432
Spain,ESP,2006,4.18482
Spain,ESP,2007,4.25405
Spain,ESP,2008,4.52806
Spain,ESP,2009,4.912
Spain,ESP,2010,4.85608
Spain,ESP,2011,4.74083
Spain,ESP,2012,4.48113
Spain,ESP,2013,4.34962
Spain,ESP,2014,4.30151
Spain,ESP,2015,4.28457
Spain,ESP,2016,4.22544
Spain,ESP,2017,4.20552
Spain,ESP,2018,4.17949
Spain,ESP,2019,4.23022
Spain,ESP,2020,4.8954
Spain,ESP,2021,4.86507
Spain,ESP,2022,4.315879
Sweden,SWE,1960,5.1
Sweden,SWE,1979,6.37238
Sweden,SWE,1980,6.53705
Sweden,SWE,1981,6.7812
Sweden,SWE,1990,5.21219
Sweden,SWE,1991,5.44381
Sweden,SWE,1992,5.2585
Sweden,SWE,1993,5.50703
Sweden,SWE,1995,6.14814
Sweden,SWE,1996,6.83862
Sweden,SWE,1998,7.06125
Sweden,SWE,1999,6.84873
Sweden,SWE,2000,6.74015
Sweden,SWE,2001,6.61764
Sweden,SWE,2002,6.92435
Sweden,SWE,2003,6.79143
Sweden,SWE,2004,6.66311
Sweden,SWE,2005,6.5064
Sweden,SWE,2006,6.36429
Sweden,SWE,2007,6.17159
Sweden,SWE,2008,6.34455
Sweden,SWE,2009,6.74971
Sweden,SWE,2010,6.52269
Sweden,SWE,2011,6.36692
Sweden,SWE,2012,7.53697
Sweden,SWE,2013,7.61121
Sweden,SWE,2014,7.57373
Sweden,SWE,2015,7.4439
Sweden,SWE,2016,7.61862
Sweden,SWE,2017,7.56883
Sweden,SWE,2018,7.64084
Sweden,SWE,2019,7.63851
Sweden,SWE,2020,7.92561
Sweden,SWE,2021,7.5722
Sweden,SWE,2022,7.115294
United Kingdom,GBR,1870,0.1
United Kingdom,GBR,1913,1.1
United Kingdom,GBR,1937,4
United Kingdom,GBR,1960,4.3
United Kingdom,GBR,1971,5.03205
United Kingdom,GBR,1972,5.15938
United Kingdom,GBR,1973,5.44861
United Kingdom,GBR,1974,5.391
United Kingdom,GBR,1975,6.26878
United Kingdom,GBR,1976,6.42422
United Kingdom,GBR,1977,6.06335
United Kingdom,GBR,1980,5.07012
United Kingdom,GBR,1981,5.28842
United Kingdom,GBR,1982,5.1887
United Kingdom,GBR,1983,5.0615
United Kingdom,GBR,1984,4.89906
United Kingdom,GBR,1985,4.59409
United Kingdom,GBR,1986,4.38084
United Kingdom,GBR,1987,4.37181
United Kingdom,GBR,1988,4.26831
United Kingdom,GBR,1989,4.12511
United Kingdom,GBR,1990,4.05552
United Kingdom,GBR,1991,4.12248
United Kingdom,GBR,1992,4.33449
United Kingdom,GBR,1993,5.4
United Kingdom,GBR,1994,4.85083
United Kingdom,GBR,1995,4.83926
United Kingdom,GBR,1996,4.37826
United Kingdom,GBR,1998,4.20708
United Kingdom,GBR,1999,3.98845
United Kingdom,GBR,2000,4.01822
United Kingdom,GBR,2001,4.10014
United Kingdom,GBR,2002,4.61193
United Kingdom,GBR,2003,4.80129
United Kingdom,GBR,2004,4.73555
United Kingdom,GBR,2005,4.92977
United Kingdom,GBR,2006,4.97649
United Kingdom,GBR,2007,4.92445
United Kingdom,GBR,2008,4.90974
United Kingdom,GBR,2009,5.06263
United Kingdom,GBR,2010,5.69868
United Kingdom,GBR,2011,5.57219
United Kingdom,GBR,2012,5.578874
United Kingdom,GBR,2013,5.5253
United Kingdom,GBR,2014,5.60135
United Kingdom,GBR,2015,5.55452
United Kingdom,GBR,2016,5.42796
United Kingdom,GBR,2017,5.45257
United Kingdom,GBR,2018,5.20437
United Kingdom,GBR,2019,5.26116
United Kingdom,GBR,2020,5.43935
United Kingdom,GBR,2021,5.90458
United Kingdom,GBR,2022,4.9190397
United States,USA,1960,4
United States,USA,1993,5.5
United States,USA,2000,6.0856495
United States,USA,2001,6.29892
United States,USA,2002,6.3599563
United States,USA,2003,6.3286095
United States,USA,2004,6.253762
United States,USA,2005,6.1709843
United States,USA,2006,6.164032
United States,USA,2007,6.243322
United States,USA,2008,6.4360843
United States,USA,2009,6.7386975
United States,USA,2010,6.6945558
United States,USA,2011,6.497685
United States,USA,2012,6.253889
United States,USA,2013,6.2115464
United States,USA,2014,6.0998206
United States,USA,2015,4.93063
United States,USA,2016,4.78328
United States,USA,2017,5.09297
United States,USA,2018,4.89502
United States,USA,2019,4.95747
United States,USA,2020,5.39998
United States,USA,2021,5.4283
United States,USA,2022,5.382429