COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE
AFG,1870,0.0
AFG,1875,0.0
AFG,1880,0.0
AFG,1885,0.0
AFG,1890,0.0
AFG,1895,0.0
AFG,1900,0.0
AFG,1905,0.0
AFG,1910,0.0
AFG,1915,0.1
AFG,1920,0.1
AFG,1925,0.1
AFG,1930,0.1
AFG,1935,0.1
AFG,1940,0.2
AFG,1945,0.3
AFG,1950,0.3
AFG,1955,0.5
AFG,1960,0.6
AFG,1965,0.9
AFG,1970,1.2
AFG,1975,2.5
AFG,1980,3.6
AFG,1985,4.8
AFG,1990,6.0
AFG,1995,7.0
AFG,2000,7.9
AFG,2005,8.5
AFG,2010,8.8
AFG,2015,8.8
AFG,2020,8.0
AFG,2025,7.3
AFG,2030,5.8
AFG,2035,4.8
AFG,2040,4.1
AFR,1870,0.0
AFR,1875,0.0
AFR,1880,0.0
AFR,1885,0.0
AFR,1890,0.0058999183
AFR,1895,0.0060804305
AFR,1900,0.006786721
AFR,1905,0.007659175
AFR,1910,0.026799247
AFR,1915,0.03390612
AFR,1920,0.09994243
AFR,1925,0.17051019
AFR,1930,0.25357977
AFR,1935,0.3448825
AFR,1940,0.45153433
AFR,1945,0.5309498
AFR,1950,0.65340555
AFR,1955,0.7388711
AFR,1960,0.834243
AFR,1965,0.9785784
AFR,1970,1.1705116
AFR,1975,1.2956754
AFR,1980,1.4390233
AFR,1985,2.0668306
AFR,1990,2.74479
AFR,1995,3.616308
AFR,2000,4.1453114
AFR,2005,4.818901
AFR,2010,5.6249323
AFR,2015,5.558001
AFR,2020,6.2285576
AFR,2025,7.2902317
AFR,2030,8.838183
AFR,2035,11.19107
AFR,2040,13.898678
ALB,1870,0.0
ALB,1875,0.0
ALB,1880,0.0
ALB,1885,0.0
ALB,1890,0.0
ALB,1895,0.0
ALB,1900,0.0
ALB,1905,0.0
ALB,1910,0.0
ALB,1915,0.0
ALB,1920,0.0
ALB,1925,0.0
ALB,1930,0.1
ALB,1935,0.1
ALB,1940,0.1
ALB,1945,0.1
ALB,1950,0.3
ALB,1955,0.9
ALB,1960,1.4
ALB,1965,2.3
ALB,1970,2.9
ALB,1975,4.1
ALB,1980,5.4
ALB,1985,6.0
ALB,1990,6.6
ALB,1995,6.6
ALB,2000,8.0
ALB,2005,4.8
ALB,2010,1.9
ALB,2015,2.3
ALB,2020,2.0
ALB,2025,2.8
ALB,2030,4.5
ALB,2035,6.9
ALB,2040,10.2
DZA,1870,0.0
DZA,1875,0.0
DZA,1880,0.0
DZA,1885,0.0
DZA,1890,0.1
DZA,1895,0.1
DZA,1900,0.1
DZA,1905,0.1
DZA,1910,0.2
DZA,1915,0.2
DZA,1920,0.2
DZA,1925,0.2
DZA,1930,0.3
DZA,1935,0.3
DZA,1940,0.3
DZA,1945,0.3
DZA,1950,0.4
DZA,1955,0.4
DZA,1960,0.3
DZA,1965,0.4
DZA,1970,0.4
DZA,1975,0.5
DZA,1980,1.0
DZA,1985,2.1
DZA,1990,3.5
DZA,1995,5.1
DZA,2000,6.5
DZA,2005,8.7
DZA,2010,10.9
DZA,2015,14.1
DZA,2020,17.3
DZA,2025,20.6
DZA,2030,24.2
DZA,2035,29.4
DZA,2040,35.6
ARG,1870,0.1
ARG,1875,0.1
ARG,1880,0.1
ARG,1885,0.1
ARG,1890,0.1
ARG,1895,0.2
ARG,1900,0.3
ARG,1905,0.4
ARG,1910,0.5
ARG,1915,0.7
ARG,1920,0.8
ARG,1925,0.8
ARG,1930,1.0
ARG,1935,1.1
ARG,1940,1.2
ARG,1945,1.3
ARG,1950,1.3
ARG,1955,2.0
ARG,1960,3.0
ARG,1965,3.6
ARG,1970,4.3
ARG,1975,5.8
ARG,1980,7.7
ARG,1985,10.3
ARG,1990,13.5
ARG,1995,14.3
ARG,2000,12.4
ARG,2005,13.7
ARG,2010,12.3
ARG,2015,12.9
ARG,2020,13.8
ARG,2025,15.2
ARG,2030,16.9
ARG,2035,18.8
ARG,2040,20.9
ARM,2015,27.2
ARM,2020,29.5
ARM,2025,32.1
ARM,2030,35.6
ARM,2035,39.6
ARM,2040,44.0
ASI,1870,0.0
ASI,1875,0.0
ASI,1880,0.0
ASI,1885,0.0
ASI,1890,0.0047522965
ASI,1895,0.0048646363
ASI,1900,0.008866789
ASI,1905,0.013541473
ASI,1910,0.06605309
ASI,1915,0.09110462
ASI,1920,0.14895068
ASI,1925,0.22836751
ASI,1930,0.30552906
ASI,1935,0.4445541
ASI,1940,0.5333862
ASI,1945,0.64213854
ASI,1950,0.75769573
ASI,1955,0.9907279
ASI,1960,1.100777
ASI,1965,1.365568
ASI,1970,1.616275
ASI,1975,2.179932
ASI,1980,2.9272804
ASI,1985,3.8785753
ASI,1990,4.940961
ASI,1995,6.2521157
ASI,2000,8.191704
ASI,2005,8.774441
ASI,2010,9.576465
ASI,2015,10.79199
ASI,2020,11.470799
ASI,2025,13.152229
ASI,2030,15.452749
ASI,2035,18.450756
ASI,2040,22.099033
AUS,1870,0.0
AUS,1875,0.0
AUS,1880,0.0
AUS,1885,0.1
AUS,1890,0.1
AUS,1895,0.1
AUS,1900,0.2
AUS,1905,0.3
AUS,1910,0.5
AUS,1915,1.9
AUS,1920,3.2
AUS,1925,4.3
AUS,1930,5.7
AUS,1935,7.1
AUS,1940,8.4
AUS,1945,9.6
AUS,1950,11.0
AUS,1955,11.9
AUS,1960,12.9
AUS,1965,13.8
AUS,1970,23.2
AUS,1975,20.6
AUS,1980,22.5
AUS,1985,25.7
AUS,1990,27.8
AUS,1995,29.1
AUS,2000,26.9
AUS,2005,32.6
AUS,2010,37.9
AUS,2015,33.7
AUS,2020,30.2
AUS,2025,26.6
AUS,2030,23.4
AUS,2035,20.0
AUS,2040,16.9
AUT,1870,0.6
AUT,1875,0.7
AUT,1880,0.9
AUT,1885,1.0
AUT,1890,1.2
AUT,1895,1.3
AUT,1900,1.5
AUT,1905,1.7
AUT,1910,1.9
AUT,1915,2.1
AUT,1920,2.1
AUT,1925,2.5
AUT,1930,2.8
AUT,1935,2.9
AUT,1940,2.8
AUT,1945,2.6
AUT,1950,2.2
AUT,1955,2.3
AUT,1960,2.4
AUT,1965,2.5
AUT,1970,2.8
AUT,1975,3.2
AUT,1980,3.6
AUT,1985,4.7
AUT,1990,6.8
AUT,1995,9.5
AUT,2000,13.4
AUT,2005,17.7
AUT,2010,19.3
AUT,2015,17.9
AUT,2020,15.9
AUT,2025,11.6
AUT,2030,10.5
AUT,2035,9.4
AUT,2040,8.9
BHR,2015,8.5
BHR,2020,10.7
BHR,2025,14.0
BHR,2030,17.5
BHR,2035,21.8
BHR,2040,27.1
BGD,1870,0.0
BGD,1875,0.0
BGD,1880,0.0
BGD,1885,0.0
BGD,1890,0.0
BGD,1895,0.0
BGD,1900,0.0
BGD,1905,0.0
BGD,1910,0.1
BGD,1915,0.1
BGD,1920,0.2
BGD,1925,0.2
BGD,1930,0.2
BGD,1935,0.3
BGD,1940,0.3
BGD,1945,0.3
BGD,1950,0.3
BGD,1955,0.3
BGD,1960,0.3
BGD,1965,0.4
BGD,1970,0.6
BGD,1975,0.9
BGD,1980,1.4
BGD,1985,1.8
BGD,1990,2.5
BGD,1995,3.5
BGD,2000,4.5
BGD,2005,4.6
BGD,2010,4.7
BGD,2015,4.9
BGD,2020,3.5
BGD,2025,3.4
BGD,2030,3.6
BGD,2035,4.0
BGD,2040,4.8
BRB,1870,0.0
BRB,1875,0.0
BRB,1880,0.0
BRB,1885,0.0
BRB,1890,0.0
BRB,1895,0.0
BRB,1900,0.0
BRB,1905,0.0
BRB,1910,0.0
BRB,1915,0.1
BRB,1920,0.1
BRB,1925,0.2
BRB,1930,0.3
BRB,1935,0.4
BRB,1940,0.5
BRB,1945,0.6
BRB,1950,0.7
BRB,1955,0.9
BRB,1960,1.1
BRB,1965,1.2
BRB,1970,1.4
BRB,1975,2.4
BRB,1980,3.9
BRB,1985,4.4
BRB,1990,4.2
BRB,1995,3.0
BRB,2000,1.1
BRB,2005,1.1
BRB,2010,2.3
BRB,2015,4.7
BRB,2020,7.5
BRB,2025,11.1
BRB,2030,15.6
BRB,2035,20.9
BRB,2040,26.7
BEL,1870,0.3
BEL,1875,0.4
BEL,1880,0.5
BEL,1885,0.5
BEL,1890,0.7
BEL,1895,0.7
BEL,1900,0.8
BEL,1905,0.8
BEL,1910,0.8
BEL,1915,0.9
BEL,1920,1.0
BEL,1925,1.1
BEL,1930,1.4
BEL,1935,1.7
BEL,1940,2.1
BEL,1945,2.6
BEL,1950,3.3
BEL,1955,3.8
BEL,1960,4.3
BEL,1965,5.2
BEL,1970,6.2
BEL,1975,9.2
BEL,1980,12.8
BEL,1985,16.4
BEL,1990,20.7
BEL,1995,24.8
BEL,2000,28.7
BEL,2005,31.8
BEL,2010,34.8
BEL,2015,34.7
BEL,2020,34.5
BEL,2025,34.2
BEL,2030,34.2
BEL,2035,33.4
BEL,2040,32.9
BLZ,1870,0.0
BLZ,1875,0.0
BLZ,1880,0.0
BLZ,1885,0.0
BLZ,1890,0.0
BLZ,1895,0.0
BLZ,1900,0.0
BLZ,1905,0.0
BLZ,1910,1.0
BLZ,1915,1.9
BLZ,1920,2.8
BLZ,1925,3.7
BLZ,1930,4.6
BLZ,1935,5.6
BLZ,1940,6.4
BLZ,1945,7.2
BLZ,1950,7.6
BLZ,1955,8.4
BLZ,1960,9.0
BLZ,1965,6.6
BLZ,1970,1.5
BLZ,1975,1.8
BLZ,1980,2.5
BLZ,1985,4.3
BLZ,1990,7.3
BLZ,1995,7.5
BLZ,2000,7.4
BLZ,2005,6.8
BLZ,2010,5.8
BLZ,2015,6.1
BLZ,2020,5.0
BLZ,2025,4.1
BLZ,2030,3.6
BLZ,2035,3.5
BLZ,2040,3.8
BEN,1870,0.0
BEN,1875,0.0
BEN,1880,0.0
BEN,1885,0.0
BEN,1890,0.0
BEN,1895,0.0
BEN,1900,0.0
BEN,1905,0.0
BEN,1910,0.0
BEN,1915,0.0
BEN,1920,0.0
BEN,1925,0.0
BEN,1930,0.1
BEN,1935,0.1
BEN,1940,0.1
BEN,1945,0.2
BEN,1950,0.2
BEN,1955,0.2
BEN,1960,0.3
BEN,1965,0.3
BEN,1970,0.3
BEN,1975,0.3
BEN,1980,0.3
BEN,1985,0.7
BEN,1990,1.3
BEN,1995,1.6
BEN,2000,2.4
BEN,2005,2.4
BEN,2010,3.3
BEN,2015,4.6
BEN,2020,6.1
BEN,2025,8.3
BEN,2030,11.4
BEN,2035,15.3
BEN,2040,20.2
BOL,1870,0.0
BOL,1875,0.0
BOL,1880,0.1
BOL,1885,0.1
BOL,1890,0.1
BOL,1895,0.1
BOL,1900,0.1
BOL,1905,0.2
BOL,1910,0.2
BOL,1915,0.3
BOL,1920,0.3
BOL,1925,0.5
BOL,1930,0.7
BOL,1935,0.9
BOL,1940,1.2
BOL,1945,1.5
BOL,1950,2.0
BOL,1955,2.4
BOL,1960,3.0
BOL,1965,3.4
BOL,1970,4.5
BOL,1975,5.5
BOL,1980,7.0
BOL,1985,9.1
BOL,1990,11.5
BOL,1995,12.8
BOL,2000,15.3
BOL,2005,18.5
BOL,2010,24.5
BOL,2015,26.7
BOL,2020,29.2
BOL,2025,32.1
BOL,2030,35.6
BOL,2035,39.3
BOL,2040,43.4
BWA,2015,4.5
BWA,2020,5.2
BWA,2025,6.4
BWA,2030,8.0
BWA,2035,10.1
BWA,2040,13.3
BRA,1870,0.0
BRA,1875,0.0
BRA,1880,0.0
BRA,1885,0.0
BRA,1890,0.0
BRA,1895,0.0
BRA,1900,0.2
BRA,1905,0.3
BRA,1910,0.4
BRA,1915,0.5
BRA,1920,0.7
BRA,1925,0.8
BRA,1930,0.8
BRA,1935,0.9
BRA,1940,0.9
BRA,1945,0.9
BRA,1950,0.9
BRA,1955,1.0
BRA,1960,1.2
BRA,1965,1.6
BRA,1970,2.0
BRA,1975,4.3
BRA,1980,5.3
BRA,1985,5.8
BRA,1990,6.3
BRA,1995,7.0
BRA,2000,7.8
BRA,2005,8.7
BRA,2010,12.1
BRA,2015,11.2
BRA,2020,11.2
BRA,2025,12.1
BRA,2030,13.8
BRA,2035,16.1
BRA,2040,19.1
BRN,2015,11.1
BRN,2020,12.7
BRN,2025,15.6
BRN,2030,19.4
BRN,2035,24.0
BRN,2040,29.1
BGR,1870,0.0
BGR,1875,0.0
BGR,1880,0.0
BGR,1885,0.0
BGR,1890,0.0
BGR,1895,0.2
BGR,1900,0.3
BGR,1905,0.4
BGR,1910,0.6
BGR,1915,0.9
BGR,1920,1.1
BGR,1925,1.4
BGR,1930,1.6
BGR,1935,1.8
BGR,1940,2.2
BGR,1945,2.5
BGR,1950,3.0
BGR,1955,3.6
BGR,1960,4.2
BGR,1965,5.4
BGR,1970,7.6
BGR,1975,9.9
BGR,1980,13.0
BGR,1985,15.7
BGR,1990,17.4
BGR,1995,18.0
BGR,2000,20.9
BGR,2005,22.1
BGR,2010,26.3
BGR,2015,25.2
BGR,2020,23.9
BGR,2025,23.4
BGR,2030,23.7
BGR,2035,24.5
BGR,2040,25.6
BDI,2015,1.4
BDI,2020,1.9
BDI,2025,2.6
BDI,2030,3.4
BDI,2035,4.6
BDI,2040,6.3
KHM,1870,0.0
KHM,1875,0.0
KHM,1880,0.0
KHM,1885,0.0
KHM,1890,0.0
KHM,1895,0.0
KHM,1900,0.0
KHM,1905,0.0
KHM,1910,0.0
KHM,1915,0.0
KHM,1920,0.0
KHM,1925,0.0
KHM,1930,0.0
KHM,1935,0.0
KHM,1940,0.0
KHM,1945,0.0
KHM,1950,0.0
KHM,1955,0.0
KHM,1960,0.0
KHM,1965,0.1
KHM,1970,0.1
KHM,1975,0.2
KHM,1980,0.3
KHM,1985,0.3
KHM,1990,0.3
KHM,1995,0.4
KHM,2000,0.5
KHM,2005,1.0
KHM,2010,2.3
KHM,2015,3.1
KHM,2020,2.8
KHM,2025,2.8
KHM,2030,3.6
KHM,2035,5.4
KHM,2040,8.7
CMR,1870,0.0
CMR,1875,0.0
CMR,1880,0.0
CMR,1885,0.0
CMR,1890,0.0
CMR,1895,0.0
CMR,1900,0.0
CMR,1905,0.0
CMR,1910,0.0
CMR,1915,0.0
CMR,1920,0.0
CMR,1925,0.0
CMR,1930,0.0
CMR,1935,0.0
CMR,1940,0.0
CMR,1945,0.1
CMR,1950,0.1
CMR,1955,0.1
CMR,1960,0.1
CMR,1965,0.2
CMR,1970,0.2
CMR,1975,0.3
CMR,1980,0.3
CMR,1985,0.4
CMR,1990,0.6
CMR,1995,1.0
CMR,2000,1.4
CMR,2005,1.9
CMR,2010,2.7
CMR,2015,3.9
CMR,2020,4.7
CMR,2025,7.0
CMR,2030,9.9
CMR,2035,13.3
CMR,2040,17.5
CAN,1870,0.0
CAN,1875,0.0
CAN,1880,0.0
CAN,1885,0.0
CAN,1890,0.3
CAN,1895,0.4
CAN,1900,1.4
CAN,1905,2.4
CAN,1910,3.2
CAN,1915,4.2
CAN,1920,5.0
CAN,1925,5.9
CAN,1930,6.6
CAN,1935,7.6
CAN,1940,8.2
CAN,1945,8.8
CAN,1950,9.3
CAN,1955,11.7
CAN,1960,14.0
CAN,1965,14.7
CAN,1970,17.5
CAN,1975,22.7
CAN,1980,28.0
CAN,1985,21.4
CAN,1990,23.7
CAN,1995,26.8
CAN,2000,30.3
CAN,2005,48.5
CAN,2010,52.2
CAN,2015,51.5
CAN,2020,51.3
CAN,2025,51.2
CAN,2030,51.4
CAN,2035,50.8
CAN,2040,50.7
CAF,2015,2.0
CAF,2020,1.4
CAF,2025,1.3
CAF,2030,1.2
CAF,2035,1.3
CAF,2040,1.5
CHL,1870,0.1
CHL,1875,0.1
CHL,1880,0.1
CHL,1885,0.2
CHL,1890,0.2
CHL,1895,0.3
CHL,1900,0.5
CHL,1905,0.7
CHL,1910,0.9
CHL,1915,1.1
CHL,1920,1.3
CHL,1925,1.7
CHL,1930,1.9
CHL,1935,2.1
CHL,1940,2.3
CHL,1945,2.4
CHL,1950,2.4
CHL,1955,2.3
CHL,1960,2.1
CHL,1965,2.8
CHL,1970,4.0
CHL,1975,5.4
CHL,1980,7.8
CHL,1985,10.0
CHL,1990,12.3
CHL,1995,16.4
CHL,2000,22.3
CHL,2005,21.9
CHL,2010,20.6
CHL,2015,18.8
CHL,2020,17.3
CHL,2025,16.5
CHL,2030,16.2
CHL,2035,16.0
CHL,2040,16.3
CHN,1870,0.0
CHN,1875,0.0
CHN,1880,0.0
CHN,1885,0.0
CHN,1890,0.0
CHN,1895,0.0
CHN,1900,0.0
CHN,1905,0.0
CHN,1910,0.0
CHN,1915,0.0
CHN,1920,0.0
CHN,1925,0.0
CHN,1930,0.0
CHN,1935,0.1
CHN,1940,0.1
CHN,1945,0.1
CHN,1950,0.2
CHN,1955,0.4
CHN,1960,0.6
CHN,1965,0.9
CHN,1970,1.1
CHN,1975,1.1
CHN,1980,1.1
CHN,1985,1.5
CHN,1990,2.2
CHN,1995,3.1
CHN,2000,4.6
CHN,2005,4.2
CHN,2010,3.9
CHN,2015,5.4
CHN,2020,8.7
CHN,2025,11.9
CHN,2030,15.9
CHN,2035,21.2
CHN,2040,27.7
COL,1870,0.1
COL,1875,0.1
COL,1880,0.1
COL,1885,0.1
COL,1890,0.1
COL,1895,0.2
COL,1900,0.2
COL,1905,0.3
COL,1910,0.4
COL,1915,0.5
COL,1920,0.6
COL,1925,0.7
COL,1930,0.7
COL,1935,0.8
COL,1940,0.8
COL,1945,0.9
COL,1950,0.9
COL,1955,1.0
COL,1960,1.2
COL,1965,1.5
COL,1970,2.0
COL,1975,3.0
COL,1980,4.2
COL,1985,6.3
COL,1990,8.7
COL,1995,11.3
COL,2000,11.2
COL,2005,11.0
COL,2010,22.0
COL,2015,24.3
COL,2020,26.4
COL,2025,28.9
COL,2030,32.2
COL,2035,35.8
COL,2040,40.0
COG,2015,1.9
COG,2020,1.3
COG,2025,0.8
COG,2030,0.5
COG,2035,0.3
COG,2040,0.1
CRI,1870,0.0
CRI,1875,0.0
CRI,1880,0.0
CRI,1885,0.0
CRI,1890,0.0
CRI,1895,0.0
CRI,1900,0.3
CRI,1905,0.5
CRI,1910,0.8
CRI,1915,1.0
CRI,1920,1.2
CRI,1925,1.3
CRI,1930,1.4
CRI,1935,1.6
CRI,1940,1.6
CRI,1945,1.7
CRI,1950,1.8
CRI,1955,2.0
CRI,1960,2.5
CRI,1965,3.1
CRI,1970,3.1
CRI,1975,6.1
CRI,1980,7.4
CRI,1985,10.2
CRI,1990,12.3
CRI,1995,14.2
CRI,2000,15.7
CRI,2005,19.4
CRI,2010,20.8
CRI,2015,19.9
CRI,2020,19.5
CRI,2025,19.7
CRI,2030,20.8
CRI,2035,22.3
CRI,2040,24.6
CIV,1870,0.0
CIV,1875,0.0
CIV,1880,0.0
CIV,1885,0.0
CIV,1890,0.0
CIV,1895,0.0
CIV,1900,0.0
CIV,1905,0.0
CIV,1910,0.0
CIV,1915,0.0
CIV,1920,0.0
CIV,1925,0.0
CIV,1930,0.0
CIV,1935,0.1
CIV,1940,0.2
CIV,1945,0.3
CIV,1950,0.5
CIV,1955,0.6
CIV,1960,0.7
CIV,1965,0.9
CIV,1970,1.1
CIV,1975,1.4
CIV,1980,1.8
CIV,1985,2.1
CIV,1990,2.4
CIV,1995,3.0
CIV,2000,4.7
CIV,2005,5.2
CIV,2010,5.4
CIV,2015,5.3
CIV,2020,4.7
CIV,2025,4.3
CIV,2030,4.3
CIV,2035,4.7
CIV,2040,5.4
HRV,2015,22.0
HRV,2020,24.2
HRV,2025,27.2
HRV,2030,30.5
HRV,2035,34.3
HRV,2040,38.6
CUB,1870,0.0
CUB,1875,0.1
CUB,1880,0.1
CUB,1885,0.1
CUB,1890,0.1
CUB,1895,0.1
CUB,1900,0.2
CUB,1905,0.3
CUB,1910,0.4
CUB,1915,0.5
CUB,1920,0.7
CUB,1925,0.9
CUB,1930,1.1
CUB,1935,1.3
CUB,1940,1.4
CUB,1945,1.5
CUB,1950,1.6
CUB,1955,1.7
CUB,1960,1.8
CUB,1965,2.1
CUB,1970,2.5
CUB,1975,3.6
CUB,1980,5.0
CUB,1985,6.2
CUB,1990,7.8
CUB,1995,9.4
CUB,2000,10.6
CUB,2005,10.0
CUB,2010,13.6
CUB,2015,21.5
CUB,2020,29.5
CUB,2025,36.8
CUB,2030,45.6
CUB,2035,55.3
CUB,2040,66.4
CYP,1870,0.0
CYP,1875,0.0
CYP,1880,0.0
CYP,1885,0.0
CYP,1890,0.0
CYP,1895,0.0
CYP,1900,0.2
CYP,1905,0.3
CYP,1910,0.4
CYP,1915,0.7
CYP,1920,1.0
CYP,1925,1.3
CYP,1930,1.5
CYP,1935,1.7
CYP,1940,1.8
CYP,1945,1.9
CYP,1950,2.0
CYP,1955,1.6
CYP,1960,1.5
CYP,1965,2.0
CYP,1970,2.8
CYP,1975,5.0
CYP,1980,8.3
CYP,1985,13.5
CYP,1990,20.1
CYP,1995,23.3
CYP,2000,29.2
CYP,2005,26.0
CYP,2010,35.4
CYP,2015,36.8
CYP,2020,38.7
CYP,2025,41.1
CYP,2030,44.2
CYP,2035,47.3
CYP,2040,51.2
CZE,1870,0.1
CZE,1875,0.1
CZE,1880,0.2
CZE,1885,0.2
CZE,1890,0.3
CZE,1895,0.3
CZE,1900,0.4
CZE,1905,0.5
CZE,1910,0.6
CZE,1915,0.7
CZE,1920,0.8
CZE,1925,0.9
CZE,1930,1.0
CZE,1935,1.1
CZE,1940,1.2
CZE,1945,1.4
CZE,1950,1.6
CZE,1955,2.1
CZE,1960,2.4
CZE,1965,3.2
CZE,1970,4.7
CZE,1975,5.4
CZE,1980,7.1
CZE,1985,10.8
CZE,1990,15.9
CZE,1995,13.7
CZE,2000,12.7
CZE,2005,13.5
CZE,2010,18.2
CZE,2015,17.9
CZE,2020,18.4
CZE,2025,18.7
CZE,2030,19.4
CZE,2035,20.5
CZE,2040,22.1
COD,1870,0.0
COD,1875,0.0
COD,1880,0.0
COD,1885,0.0
COD,1890,0.0
COD,1895,0.0
COD,1900,0.0
COD,1905,0.0
COD,1910,0.0
COD,1915,0.0
COD,1920,0.0
COD,1925,0.0
COD,1930,0.0
COD,1935,0.0
COD,1940,0.0
COD,1945,0.0
COD,1950,0.0
COD,1955,0.0
COD,1960,0.0
COD,1965,0.0
COD,1970,0.1
COD,1975,0.2
COD,1980,0.4
COD,1985,0.6
COD,1990,0.8
COD,1995,1.1
COD,2000,1.5
COD,2005,1.4
COD,2010,1.3
COD,2015,1.2
COD,2020,1.2
COD,2025,1.2
COD,2030,1.3
COD,2035,1.5
COD,2040,1.9
DNK,1870,0.0
DNK,1875,0.0
DNK,1880,0.1
DNK,1885,0.1
DNK,1890,0.1
DNK,1895,0.1
DNK,1900,0.1
DNK,1905,0.1
DNK,1910,0.2
DNK,1915,0.2
DNK,1920,0.2
DNK,1925,0.2
DNK,1930,0.3
DNK,1935,1.2
DNK,1940,1.9
DNK,1945,2.7
DNK,1950,3.3
DNK,1955,5.8
DNK,1960,6.7
DNK,1965,7.8
DNK,1970,9.8
DNK,1975,12.1
DNK,1980,14.5
DNK,1985,19.1
DNK,1990,21.2
DNK,1995,23.2
DNK,2000,23.7
DNK,2005,28.8
DNK,2010,32.9
DNK,2015,30.5
DNK,2020,30.8
DNK,2025,31.0
DNK,2030,31.1
DNK,2035,30.5
DNK,2040,29.9
DOM,1870,0.0
DOM,1875,0.0
DOM,1880,0.0
DOM,1885,0.0
DOM,1890,0.0
DOM,1895,0.0
DOM,1900,0.0
DOM,1905,0.0
DOM,1910,0.2
DOM,1915,0.3
